1 spam spam
2 ham ham
3 ham ham
4 ham ham
5 ham spam
6 ham ham
7 ham ham
8 ham ham
9 ham ham
10 spam spam
11 ham ham
12 ham ham
13 spam spam
14 spam spam
15 spam spam
16 ham ham
17 spam spam
18 spam spam
19 spam spam
20 spam spam
21 spam spam
22 ham ham
23 spam spam
24 spam spam
25 spam spam
26 ham ham
27 ham ham
28 spam spam
29 ham ham
30 ham ham
31 spam spam
32 spam spam
33 ham ham
34 ham ham
35 spam spam
36 spam spam
37 spam spam
38 spam spam
39 ham ham
40 spam spam
41 ham ham
42 spam spam
43 spam spam
44 spam spam
45 spam spam
46 spam spam
47 ham ham
48 ham ham
49 ham ham
50 spam spam
51 spam spam
52 ham ham
53 ham ham
54 ham ham
55 spam spam
56 ham ham
57 ham ham
58 spam spam
59 ham ham
60 ham ham
61 ham ham
62 ham ham
63 spam spam
64 ham ham
65 spam spam
66 spam spam
67 ham ham
68 spam spam
69 spam ham
70 spam ham
71 spam ham
72 spam ham
73 ham spam
74 spam ham
75 spam ham
76 spam ham
77 ham ham
78 ham ham
79 ham ham
80 ham ham
81 spam ham
82 spam ham
83 spam ham
84 spam ham
85 spam ham
86 ham ham
87 spam ham
88 spam spam
89 ham ham
90 ham ham
91 ham ham
92 ham ham
93 ham ham
94 ham ham
95 ham ham
96 ham ham
97 ham ham
98 ham ham
99 ham ham
100 ham ham
